,Institution Name,Issued by Top 25 Institution,Product Name,Report Date,Availability of Credit Card Plan,State,State (Multiple),Pertains to Specific Counties?,Requirements for Opening,Requirements for Opening Types,Geographic Restrictions,Professional Affiliation,Other,Secured Card,Targeted Credit Tiers,Purchase APR Offered?,Purchase APR Vary by Balance,Purchase APR Balance Tier 1,Purchase APR Tier 1 From Balance,Purchase APR Tier 1 To Balance,Purchase APR Balance Tier 2,Purchase APR Tier 2 From Balance,Purchase APR Tier 2 To Balance,Purchase APR Balance Tier 3,Purchase APR Tier 3 From Balance,Purchase APR Tier 3 To Balance,Purchase APR Balance Tier 4,Purchase APR Tier 4 From Balance,Purchase APR Tier 4 To Balance,Purchase APR Index,Variable Rate Index,Index,Purchase APR Vary by Credit Tier,Purchase APR no score,Purchase APR poor,Purchase APR good,Purchase APR great,Purchase APR min,Purchase APR median,Purchase APR max,Introductory APR Offered?,Introductory APR Vary By Credit Tier,Intro APR no score,Intro APR poor,Intro APR good,Intro APR great,Intro APR min,Intro APR median,Intro APR max,Median Length of Introductory APR,Balance Transfer Offered?,Balance Transfer APR Vary by Credit Tier,Transfer APR no score,Transfer APR poor,Transfer APR good,Transfer APR great,Transfer APR min,Transfer APR median,Transfer APR max,Median Length of Balance Transfer APR,Balance Transfer Grace Period,Cash Advance APR Offered?,Cash Advance APR Vary by Credit Tier,Advance APR no score,Advance APR poor,Advance APR good,Advance APR great,Advance APR min,Advance APR median,Advance APR max,Grace Period Offered?,Grace Period,Minimum Finance Charge?,Minimum Finance Charge (Dollars),Balance Computation Method,Balance Computation Method Details,Periodic Fee Type,Annual Fee,Monthly Fee,Weekly Fee,Other Periodic Fee Name,Other Periodic Fee Amount,Other Periodic Fee Frequency,Fee Varies?,Periodic min,Periodic max,Fee Explanation,Purchase Transaction Fees,Purchase Transaction Fee Type,Purchase Transaction Fee ($),Purchase Transaction Fee (%),Minimum Purchase Transaction Fee Amount,Purchase Transaction Fee Calculation,Balance Transfer Fees?,Balance Transfer Fee Types,Balance Transfer Fee ($),Balance Transfer Fee (%),Minimum Balance Transfer Fee Amount,Balance Transfer Fee Calculation,Cash Advance Fees?,Cash Advance Fee For Each Transaction,Cash Advance Fee Types,Cash Advance Fee ($),Cash Advance Fee (%),Minimum Cash Advance Fee Amount,Cash Advance Fee Calculation,Foreign Transaction Fees?,Foreign Transaction Fees Types,Foreign Transaction Fee ($),Foreign Transaction Fee (%),Minimum Foreign Transaction Fee Amount,Foreign Transaction Fee Calculation,Late Fees?,Late Fee Types,Late Fee ($),Late Fee Six Month Billing Cycle,Late Fee Policy Details,Over Limit Fees?,Over Limit Fee Types,Over Limit Fee ($),Overlimit Fee Detail,Other Fees,Additional Fees,Other Fee Name,Other Fee Amount,Other Fee Explanation,Other Fee Name 2,Other Fee Amount 2,Other Fee Explanation 2,Other Fee Name 3,Other Fee Amount 3,Other Fee Explanation 3,Other Fee Name 4,Other Fee Amount 4,Other Fee Explanation 4,Other Fee Name 5,Other Fee Amount 5,Other Fee Explanation 5,Services,Other Services,Rewards,Other Rewards,Card Features,Other Card Features,Contact Information Types,Website for Consumer,Telephone Number for Consumers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Barclays Bank Delaware,TRUE,Gap Good Rewards Mastercard,2024-12-31,National,,,,No,,,,,No,Credit scores from 620 to 719; Credit score of 720 or greater,Yes,No,,,,,,,,,,,,,Yes,Prime,V,No,,,,,29.99%,34.24%,34.99%,No,,,,,,,,,,No,,,,,,,,,,,Yes,No,,,,,29.99%,34.24%,34.99%,Yes,23,Yes,$2.00,Other,"We use a method called ""daily balance (including new purchases)"". If you are a resident of Iowa at the time the account is opened, we use a method called ""average daily balance (including new purchases)"".",,,,,,,,,,,,No,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?; 4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",$5.00,5.00%,$5.00,"Either $5 or 5% of the amount of each transfer, whichever is greater.",Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?; 4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",$10.00,5.00%,$10.00,"Either $10 or 5% of the amount of each cash advance, whichever is greater.",Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$30.00,$41.00,,No,,,,Yes,No,Returned Payment fee,$41.00,"Charge incurred when a customer payment is returned due to insufficient funds in a consumer's account, closed accounts, or frozen accounts.",,,,,,,,,,,,,Access to Free Credit Scores; Automobile rental insurance; Other,"Other - ID Theft Protection, Zero Liability, Global Emergency Services, Early Sales",Other rewards,Other Rewards (store point rewards & first purchase discount),"Contactless Payments; Chip card; Mobile wallet provisioning (for example, Apple Pay)",,Phone,,800-861-5096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Barclays Bank Delaware,TRUE,Navyist Rewards MasterCard Platinum,2024-12-31,National,,,,No,,,,,No,Credit scores from 620 to 719; Credit score of 720 or greater,Yes,No,,,,,,,,,,,,,Yes,Prime,V,No,,,,,29.99%,34.24%,34.99%,No,,,,,,,,,,No,,,,,,,,,,,Yes,No,,,,,29.99%,34.24%,34.99%,Yes,23,Yes,$2.00,Other,"We use a method called ""daily balance (including new purchases)"". If you are a resident of Iowa at the time the account is opened, we use a method called ""average daily balance (including new purchases)"".",,,,,,,,,,,,No,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",$5.00,5.00%,$5.00,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?; 4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",$10.00,5.00%,$10.00,"Either $10 or 5% of the amount of each cash advance, whichever is greater.",Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$30.00,$41.00,,No,,,,Yes,No,Returned Payment Fee,$41.00,"Charge incurred when a consumer bounces a payment. Payments may be returned because of insufficient funds in a consumer's account, closed accounts, or frozen accounts

up to $15 for residents of Iowa at time of account opening",,,,,,,,,,,,,Access to Free Credit Scores; Automobile rental insurance; Other,"Other - ID Theft Protection, Zero Liability, Global Emergency Services, Early Sales",Other rewards,Other Rewards (store point rewards & first purchase discount),"Contactless Payments; Chip card; Mobile wallet provisioning (for example, Apple Pay)",,Phone,,800-866-9710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baxter Credit Union,FALSE,Travel Rewards Visa Signature,2024-12-31,National,,,,No,,,,,No,Credit scores from 620 to 719; Credit score of 720 or greater,Yes,No,,,,,,,,,,,,,Yes,Prime,V,Yes,,,22.50%,18.38%,17.40%,21.98%,26.40%,No,,,,,,,,,,No,,,,,,,,,,,Yes,No,,,,,25.00%,25.00%,25.00%,Yes,30,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?; 4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,3.00%,$10.00,"$10 or 3% of each cash advance, whichever is greater (no maximum)",No,,,,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$29.00,$29.00,,No,,,,Yes,No,Returned Payment Fee,$29.00,When payment is returned NSF,,,,,,,,,,,,,Automobile rental insurance; Debt cancellation coverage; Discounts on purchases of goods and services (non travel related),,Travel-related rewards,,"Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning (for example, Apple Pay)",,Phone; Website,https://www.bcu.org,800-388-7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bay Federal Credit Union,FALSE,Bay Cash Visa,2024-12-31,National,,,,Yes,Geographic Restrictions Beyond Place of Residence,"Live, work, worship in Santa Cruz County, Monterey County, San Benito County (California State)",,,No,No credit score; Credit scores from 620 to 719; Credit score of 720 or greater,Yes,No,,,,,,,,,,,,,Yes,Prime,V,No,,,,,18.00%,18.00%,18.00%,No,,,,,,,,,,Yes,No,,,,,18.00%,18.00%,18.00%,0,No,Yes,No,,,,,18.00%,18.00%,18.00%,Yes,30,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,No,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,2.00%,$2.00,,No,,,,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$28.00,$28.00,,No,,,,No,,,,,,,,,,,,,,,,,Automobile rental insurance; Extension on manufacturer’s warranty,,Cashback rewards,,"Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning (for example, Apple Pay)",,Phone; Website,https://www.bayfed.com,8884229333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bay Federal Credit Union,FALSE,Visa Classic,2024-12-31,National,,,,Yes,Geographic Restrictions Beyond Place of Residence,"Live, work, worship in Santa Cruz County, Monterey County, San Benito County (California State)",,,No,Credit score 619 or less,Yes,No,,,,,,,,,,,,,Yes,Prime,V,No,,,,,18.00%,18.00%,18.00%,No,,,,,,,,,,No,,,,,,,,,,,Yes,Yes,,18.00%,18.00%,,18.00%,,18.00%,Yes,30,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,No,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,2.00%,$2.00,,No,,,,,,Yes,1. What is the amount of the first late fee on the account?,$29.00,,,No,,,,No,,,,,,,,,,,,,,,,,Automobile rental insurance,,,,"Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning (for example, Apple Pay)",,Phone; Website,https://www.bayfed.com/loans-credit-cards/credit-cards,8884229333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blackhawk Community Credit Union,FALSE,Great Rate,2024-12-31,One State/Territory,WI,,Yes,Yes,Other. Please Describe:,,,Field of Membership (Credit Union),No,No credit score; Credit score 619 or less; Credit scores from 620 to 719; Credit score of 720 or greater,Yes,No,,,,,,,,,,,,,Yes,Prime,V,Yes,16.00%,17.00%,16.00%,14.00%,13.00%,15.50%,18.00%,No,,,,,,,,,,No,,,,,,,,,,,Yes,Yes,16.00%,17.00%,16.00%,14.00%,13.00%,,18.00%,Yes,30,Yes,$0.50,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,No,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?",$5.00,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,Yes,1. What is the amount of the first late fee on the account?,$25.00,,,No,,,,Yes,Yes,Returned Payment Fee,$15.00,When a payment is returned.,Lost Card Replacement Fee,$10.00,Lost card replacement,Returned Undeliverable Mail Fee,$10.00,Returned Undeliverable Mail Fee,,,,,,,Other,"Travel Accident Insurance, Automated Fraud Alerts, Card Lock, VISA Benefits",,,"Contactless Payments; Chip card; Mobile wallet provisioning (for example, Apple Pay)",,Phone; Website,https://www.bhccu.org,800-779-5555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blackhawk Community Credit Union,FALSE,REWARD$,2024-12-31,One State/Territory,WI,,Yes,Yes,Other. Please Describe:,,,Field of Membership (Credit Union),No,No credit score; Credit score 619 or less; Credit scores from 620 to 719; Credit score of 720 or greater,Yes,No,,,,,,,,,,,,,Yes,Prime,V,Yes,18.00%,20.00%,18.00%,16.00%,14.00%,18.00%,22.00%,No,,,,,,,,,,No,,,,,,,,,,,Yes,Yes,18.00%,20.00%,18.00%,16.00%,14.00%,,22.00%,Yes,30,Yes,$0.50,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,No,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?",$5.00,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,Yes,1. What is the amount of the first late fee on the account?,$25.00,,,No,,,,Yes,Yes,Returned Payment Fee,$15.00,Returned Payment,Lost Card Replacement Fee,$10.00,Lost card replacement,Returned Undeliverable Mail Fee,$10.00,Returned Undeliverable mail,,,,,,,Other,"Travel Accident Insurance, Automated Fraud Alerts, Card Lock, VISA Benefits",Cashback rewards; Travel-related rewards,,"Contactless Payments; Chip card; Mobile wallet provisioning (for example, Apple Pay)",,Phone; Website,https://www.bhccu.org,800-779-5555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blackhawk Community Credit Union,FALSE,Local First,2024-12-31,One State/Territory,WI,,Yes,Yes,Other. Please Describe:,,,Field of Membership (Credit Union),No,No credit score; Credit score 619 or less; Credit scores from 620 to 719; Credit score of 720 or greater,Yes,No,,,,,,,,,,,,,Yes,Prime,V,Yes,16.00%,17.00%,16.00%,14.00%,13.00%,16.00%,19.00%,No,,,,,,,,,,No,,,,,,,,,,,Yes,Yes,16.00%,17.00%,16.00%,14.00%,13.00%,,19.00%,Yes,30,Yes,$0.50,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,No,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?",$5.00,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,Yes,1. What is the amount of the first late fee on the account?,$25.00,,,No,,,,Yes,Yes,Returned Payment Fee,$15.00,Payment Returned,Lost Card Replacement Fee,$10.00,Lost card replacement,Returned Undeliverable Mail Fee,$10.00,Returned undeliverable mail,,,,,,,Other,"Travel Accident Insurance, Automated Fraud Alerts, Card Lock, VISA Benefits",,,"Contactless Payments; Chip card; Mobile wallet provisioning (for example, Apple Pay)",,Phone; Website,https://www.bhccu.org,800-779-5555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blaze Credit Union,FALSE,Visa Platinum,2024-12-31,National,,,,Yes,Other. Please Describe:,,,"If you meet one of the following criteria, you are eligible for membership:

1. You live, work, worship, volunteer, attend school, or do business in a community located in one of the following counties:*

Aitkin, MN
Anoka, MN
Benton, MN
Blue Earth, MN
Bur",No,No credit score; Credit score 619 or less; Credit scores from 620 to 719; Credit score of 720 or greater,Yes,Yes,,,,15.15%,,,17.99%,,,17.99%,,,Yes,Prime,V,Yes,17.99%,17.99%,17.99%,13.15%,13.15%,15.15%,17.99%,Yes,No,,,,,0.00%,0.00%,0.00%,12,Yes,No,,,,,2.99%,2.99%,2.99%,12,No,Yes,Yes,17.99%,17.99%,17.99%,13.15%,13.15%,,17.99%,Yes,25,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,No,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$5.00,2.00%,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,Yes,1. What is the amount of the first late fee on the account?,$25.00,,,No,,,,No,,,,,,,,,,,,,,,,,,,,,"Contactless Payments; Chip card; Mobile wallet provisioning (for example, Apple Pay)",,Phone,,6512153500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Bmo Bank, N.A.",FALSE,Cash Back Credit Card,2024-12-31,National,,,,No,,,,,No,Credit scores from 620 to 719; Credit score of 720 or greater,Yes,No,,,,,,,,,,,,,Yes,Prime,V,Yes,,28.24%,27.24%,21.24%,20.49%,22.24%,28.24%,No,,,,,,,,,,Yes,No,,,,,0.00%,0.00%,0.00%,12.4,No,Yes,No,,,,,31.74%,32.49%,32.49%,Yes,25,Yes,$1.00,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,4.00%,$10.00,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,Yes,"1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?; 3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",$29.00,$39.00,"A single violation will not exceed $29. However, if another violation of the same type occurs within six billing cycles, we will charge up to $39, The Late Payment Fee will not exceed the related Minimum Payment Due.",No,,,,Yes,Yes,Returned Payment Fee,$29.00,"A single violation will not exceed $29. However, if another violation of the same type occurs within six billing cycles, we will charge up to $39, The Returned Payment Fee will not exceed the related Minimum Payment Due.",PaySmart Fee,$1.00,Monthly fee of up to 1% of the amount of each eligible transaction customer selects to pay in monthly installments. The exact fee will be a percentage of your transaction amount and will be disclosed when the payment plan is set up.,,,,,,,,,,Access to Free Credit Scores; Automobile rental insurance; Extension on manufacturer’s warranty; Other,"ID Theft Protection, Travel Assistance Services, Global Service, Airport Concierge,  and Cellular Wireless Telephone Protection",Cashback rewards,,"Contactless Payments; Chip card; Mobile wallet provisioning (for example, Apple Pay)",,Phone,,888 340 2265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Boeing Employees Credit Union,TRUE,BECU Cash Back Credit Card,2024-12-31,National,,,,Yes,Geographic Restrictions Beyond Place of Residence; Professional Affiliation; Other. Please Describe:,"All counties in Washington State. Benton, Clackamas, Clatsop, Columbia, Coos, Curry, Deschutes, Douglas, Jackson, Josephine, Klamath, Lane, Lincoln, Linn, Marion, Multnomah, Polk, Tillamook, Washington, and Yamhill counties in Oregon. Benewah, Bonner, Bou","University of Washington Alumni Association (UWAA) member, donor, employee, volunteer or retiree. Washington State University Alumni Association (WSUAA) member, donor, employee, volunteer or retiree. BECU Foundation member, donor, employee, volunteer or r","Consumers must be within the CU's field of membership to obtain membership and a credit card account. BECU's FOM includes all of WA, parts of ID and OR, and employees/members of various employers/affiliations. More info available here https://www.becu.org",No,No credit score; Credit score 619 or less; Credit scores from 620 to 719; Credit score of 720 or greater,Yes,No,,,,,,,,,,,,,Yes,Prime,V,Yes,,25.24%,20.24%,16.24%,13.24%,20.24%,25.24%,No,,,,,,,,,,No,,,,,,,,,,,No,,,,,,,,,Yes,23,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,No,,,,,,No,,,,,,,No,,,,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$25.00,$25.00,,No,,,,Yes,No,Returned Payment Fee,$25.00,Charged when a payment was returned because it was uncollectible or not honored.,,,,,,,,,,,,,Access to Free Credit Scores; Credit card registration; Extension on manufacturer’s warranty; Other,"Roadside assistance, travel accident insurance, ID theft insurance",Cashback rewards,,"Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning (for example, Apple Pay)",,Phone; Website,https://www.becu.org/everyday-banking/credit-card/cash-back-credit-card,800-233-2328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Boeing Employees Credit Union,TRUE,BECU Cash Back Secured,2024-12-31,National,,,,Yes,Geographic Restrictions Beyond Place of Residence; Professional Affiliation; Other. Please Describe:,"All counties in Washington State. Benton, Clackamas, Clatsop, Columbia, Coos, Curry, Deschutes, Douglas, Jackson, Josephine, Klamath, Lane, Lincoln, Linn, Marion, Multnomah, Polk, Tillamook, Washington, and Yamhill counties in Oregon. Benewah, Bonner, Bou","University of Washington Alumni Association (UWAA) member, donor, employee, volunteer or retiree. Washington State University Alumni Association (WSUAA) member, donor, employee, volunteer or retiree. BECU Foundation member, donor, employee, volunteer or r","Consumers must be within the CU's field of membership to obtain membership and a credit card account. BECU's FOM includes all of WA, parts of ID and OR, and employees/members of various employers/affiliations. More info available here https://www.becu.org",Yes,Credit score 619 or less; Credit scores from 620 to 719; Credit score of 720 or greater,Yes,No,,,,,,,,,,,,,Yes,Prime,V,Yes,,25.24%,19.24%,18.49%,13.74%,19.24%,27.24%,No,,,,,,,,,,No,,,,,,,,,,,No,,,,,,,,,Yes,23,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,No,,,,,,No,,,,,,,No,,,,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$25.00,$25.00,,No,,,,Yes,No,Returned Payment Fee,$25.00,Charged when a payment was returned because it was uncollectible or not honored.,,,,,,,,,,,,,Access to Free Credit Scores; Credit card registration; Extension on manufacturer’s warranty; Other,"Roadside assistance, travel accident insurance, ID theft insurance",Cashback rewards,,"Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning (for example, Apple Pay)",,Phone; Website,https://www.becu.org/everyday-banking/credit-card/secured-credit-card,800-233-2328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Boeing Employees Credit Union,TRUE,BECU Traditional Card,2024-12-31,National,,,,Yes,Geographic Restrictions Beyond Place of Residence; Professional Affiliation; Other. Please Describe:,"All counties in Washington State. Benton, Clackamas, Clatsop, Columbia, Coos, Curry, Deschutes, Douglas, Jackson, Josephine, Klamath, Lane, Lincoln, Linn, Marion, Multnomah, Polk, Tillamook, Washington, and Yamhill counties in Oregon. Benewah, Bonner, Bou","University of Washington Alumni Association (UWAA) member, donor, employee, volunteer or retiree. Washington State University Alumni Association (WSUAA) member, donor, employee, volunteer or retiree. BECU Foundation member, donor, employee, volunteer or r","Consumers must be within the CU's field of membership to obtain membership and a credit card account. BECU's FOM includes all of WA, parts of ID and OR, and employees/members of various employers/affiliations. More info available here https://www.becu.org",No,Credit score 619 or less; Credit scores from 620 to 719; Credit score of 720 or greater,Yes,No,,,,,,,,,,,,,Yes,Prime,V,Yes,,22.24%,16.74%,13.74%,13.24%,16.74%,24.74%,Yes,No,,,,,0.00%,0.00%,0.00%,12,No,,,,,,,,,,,No,,,,,,,,,Yes,23,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,No,,,,,,No,,,,,,,No,,,,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$25.00,$25.00,,No,,,,Yes,No,Returned Payment Fee,$25.00,Charged when a payment was returned because it was uncollectible or not honored.,,,,,,,,,,,,,Access to Free Credit Scores; Credit card registration; Extension on manufacturer’s warranty; Other,"Roadside assistance, travel accident insurance, ID theft insurance",,,"Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning (for example, Apple Pay)",,Phone; Website,https://www.becu.org/everyday-banking/credit-card/low-rate-credit-card,800-233-2328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Boeing Employees Credit Union,TRUE,BECU Traditional Secured Card,2024-12-31,National,,,,Yes,Geographic Restrictions Beyond Place of Residence; Professional Affiliation; Other. Please Describe:,"All counties in Washington State. Benton, Clackamas, Clatsop, Columbia, Coos, Curry, Deschutes, Douglas, Jackson, Josephine, Klamath, Lane, Lincoln, Linn, Marion, Multnomah, Polk, Tillamook, Washington, and Yamhill counties in Oregon. Benewah, Bonner, Bou","University of Washington Alumni Association (UWAA) member, donor, employee, volunteer or retiree. Washington State University Alumni Association (WSUAA) member, donor, employee, volunteer or retiree. BECU Foundation member, donor, employee, volunteer or r","Consumers must be within the CU's field of membership to obtain membership and a credit card account. BECU's FOM includes all of WA, parts of ID and OR, and employees/members of various employers/affiliations. More info available here https://www.becu.org",Yes,Credit score 619 or less; Credit scores from 620 to 719; Credit score of 720 or greater,Yes,No,,,,,,,,,,,,,Yes,Prime,V,Yes,,26.24%,16.24%,16.24%,13.24%,16.24%,27.24%,Yes,No,,,,,0.00%,0.00%,0.00%,12,No,,,,,,,,,,,No,,,,,,,,,Yes,23,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,No,,,,,,No,,,,,,,No,,,,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$25.00,$25.00,,No,,,,Yes,No,Returned Payment Fee,$25.00,Charged when a payment was returned because it was uncollectible or not honored.,,,,,,,,,,,,,Access to Free Credit Scores; Credit card registration; Extension on manufacturer’s warranty; Other,"Roadside assistance, travel accident insurance, ID theft insurance",,,"Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning (for example, Apple Pay)",,Phone; Website,https://www.becu.org/everyday-banking/credit-card/secured-credit-card,800-233-2328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Canvas Credit Union,FALSE,Platinum Elite Credit Card,2024-12-31,National,,,,Yes,Other. Please Describe:,,,Membership with credit union is required,No,Credit score of 720 or greater,Yes,No,,,,,,,,,,,,,Yes,Prime,V,Yes,,21.00%,21.00%,13.74%,11.74%,19.74%,21.00%,No,,,,,,,,,,No,,,,,,,,,,,Yes,Yes,,21.00%,21.00%,16.24%,14.24%,,21.00%,Yes,30,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,The greater of $5.00 or 2% of the transaction amount,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,The greater of $5.00 or 2% of the transaction amount,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,"1% of the transaction amount with a currency conversion, or 0.8% of the transaction amount with no currency conversion.",Yes,1. What is the amount of the first late fee on the account?,$15.00,,,No,,,,No,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Other,ID Theft Protection,Other rewards,,"Contactless Payments; Chip card; Mobile wallet provisioning (for example, Apple Pay)",,Phone; Website,https://www.canvas.org/,3036912345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Capital One, National Association",TRUE,BJ's One Mastercard,2024-12-31,National,,,,Yes,Other. Please Describe:,,,Requires an active membership with BJ's Wholesale Club,No,Credit scores from 620 to 719; Credit score of 720 or greater,Yes,No,,,,,,,,,,,,,Yes,Prime,V,Yes,29.74%,30.24%,30.24%,25.74%,19.74%,29.74%,30.24%,No,,,,,,,,,,No,,,,,,,,,,,Yes,No,,,,,29.74%,32.24%,32.24%,Yes,25,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,No,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$5.00,,No,,,,,,Yes,"1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?; 3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",$29.00,$40.00,Up to $29.00 for first late fee.,No,,,,No,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Discounts on purchases of goods and services (non travel related); Other,This product also features benefits as offered by Mastercard.,Other rewards,Points,"Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning (for example, Apple Pay)",,Phone; Website,https://www.capitalone.com/credit-cards/,1-800-903-9177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
